City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
79,Cassilândia,-19.1133,-51.7342,71.37,97,95,9.22,BR,1707345329
80,Hadibu,12.65,54.0333,76.84,66,100,12.21,YE,1707345330
81,Nuuk,64.1835,-51.7216,16.41,86,100,12.66,GL,1707345330
82,Lamu,-2.2717,40.902,80.4,85,27,13.02,KE,1707345331
83,Brookings,44.3114,-96.7984,50.38,84,100,21.3,US,1707345331
84,Söderhamn,61.3037,17.0592,18.16,81,30,3.38,SE,1707345332
85,Kapaa,22.0752,-159.319,80.58,67,40,13.8,US,1707345228
86,Slave Lake,55.2834,-114.769,22.98,86,100,5.75,CA,1707345296
87,Hasaki,35.7333,140.8333,32.4,57,55,0.87,JP,1707345333
88,Diamantina,-18.2494,-43.6003,65.28,96,100,2.51,BR,1707345334
89,Hermanus,-34.4187,19.2345,65.8,83,45,10.09,ZA,1707345334
90,Haiku-Pauwela,20.9219,-156.3051,78.82,65,20,24.16,US,1707345335
91,Port Mathurin,-19.6833,63.4167,79.43,80,66,16.46,MU,1707345336
92,Porbandar,21.6422,69.6093,70.77,51,97,10.56,IN,1707345338
93,Maksatikha,57.797,35.8825,0.3,96,100,6.35,RU,1707345338
94,Erenhot,43.6475,111.9767,-0.18,97,93,3.44,CN,1707345339
95,Ghanzi,-21.5667,21.7833,77.56,52,84,12.66,BW,1707345339
96,Pallasovka,50.05,46.8833,36.79,98,100,21.61,RU,1707345340
97,Zakynthos,37.7914,20.8953,54.64,83,100,9.82,GR,1707345340
98,Bengkulu,-3.8004,102.2655,75.13,89,100,3.47,ID,1707345247
99,West Island,-12.1568,96.8225,78.78,94,100,0.0,CC,1707345131
100,Sur,22.5667,59.5289,70.75,62,100,3.51,OM,1707345342
101,Mossamedes,-15.1961,12.1522,77.67,78,80,10.07,AO,1707345342
102,As Sulayyil,20.4607,45.5779,59.25,70,17,10.02,SA,1707345343
103,Mermoz Boabab,14.7065,-17.4758,81.16,61,0,6.91,SN,1707345343
104,Weno,7.4515,151.8468,82.35,78,100,11.5,FM,1707345344
105,Saint Paul Harbor,57.79,-152.4072,35.11,80,75,8.05,US,1707345120
106,Peterhead,57.5058,-1.7981,31.44,70,17,16.84,GB,1707345344
107,Mwingi,-0.9344,38.0601,68.23,79,24,0.49,KE,1707345345
108,I-n-Salah,27.1935,2.4607,61.09,22,99,10.47,DZ,1707345346
109,Flying Fish Cove,-10.4217,105.6791,76.68,94,40,2.3,CX,1707345346
110,Bilibino,68.0546,166.4372,-33.03,100,98,0.47,RU,1707345152
111,Naryan-Mar,67.6713,53.087,-4.9,98,100,10.0,RU,1707345347
112,Phan Rang-Thap Cham,11.5667,108.9833,70.56,89,97,3.74,VN,1707345348
113,Longyearbyen,78.2186,15.6401,19.24,68,40,17.27,SJ,1707345348
114,Itambé,-15.245,-40.6244,73.15,83,94,3.15,BR,1707345349
115,Samcheok,37.4406,129.1708,32.2,76,10,5.73,KR,1707345349
116,Awjilah,29.1081,21.2869,57.72,36,21,4.56,LY,1707345350
117,Isafjordur,66.0755,-23.124,19.24,74,4,5.59,IS,1707345153
118,Richards Bay,-28.783,32.0377,75.25,86,97,13.76,ZA,1707345351
119,Jayapura,-2.5333,140.7,79.99,85,100,3.51,ID,1707345352
120,Amos,48.5669,-78.1162,32.49,99,100,5.08,CA,1707345352
121,Tura,25.5198,90.2201,51.06,42,0,3.38,IN,1707345353
122,Palembang,-2.9167,104.7458,75.29,100,40,0.0,ID,1707345354
123,Talnakh,69.4865,88.3972,-12.53,88,44,4.36,RU,1707345354
124,Kachug,53.9606,105.8817,0.05,100,97,0.76,RU,1707345354
125,Alo,7.4178,6.7371,81.18,19,34,2.64,NG,1707345355
